SchemaName,TableName,TableDescription,RowCount,ColumnName,OrdinalPosition,DataType,Maxlength,NumericPrecision,NumericScale,IsNullable,ColoumnDescription,SampleValues
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Class,17,nchar,2,0,0,1,"Product class code: L=Low, M=Medium, H=High (relative product class).","[""H"",""L"",""M""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,Style,18,nchar,2,0,0,1,"Product style code: U=Universal, W=Women’s, M=Men’s (style category).","[""M"",""U"",""W""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ProductSubcategoryID,19,int,4,10,0,1,Foreign key to the product subcategory (classification hierarchy).,"[1,2,3,4,5]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ProductModelID,20,int,4,10,0,1,Foreign key to the product model (shared attributes/specifications).,"[1,2,3,4,5]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,SellStartDate,21,datetime,8,23,3,0,Date the product became available for sale.,"[""Apr 30 2008 12:00AM"",""May 31 2011 12:00AM"",""May 30 2012 12:00AM"",""May 30 2013 12:00AM""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,SellEndDate,22,datetime,8,23,3,1,Date the product stopped being sold (if applicable).,"[""May 29 2012 12:00AM"",""May 29 2013 12:00AM""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,DiscontinuedDate,23,datetime,8,23,3,1,Date the product was discontinued from production (if applicable).,[null]
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,rowguid,24,uniqueidentifier,16,0,0,0,Row-level GUID used for replication and uniqueness across systems.,"[""7A927632-99A4-4F24-ADCE-0062D2D113D9"",""94506C9D-5991-46A7-82EA-00E05D8D9B9C"",""CA74B54E-FC30-4464-8B83-019BFD1B2DBB"",""89B6E84F-5C08-4CD9-B803-01F2CE24E417"",""87B81A1A-A5B5-43D2-A20D-0230800490B9""]"
Production,Product,"Contains the master list of manufactured and purchased products, including product attributes, pricing, dimensions, classifications, and lifecycle information.",504,ModifiedDate,25,datetime,8,23,3,0,Timestamp of the last update to the product record.,"[""Feb 8 2014 10:01AM"",""Feb 8 2014 10:03AM""]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,TransactionID,1,int,4,10,0,0,Primary key; unique identifier for each inventory transaction.,"[100000,100001,100002,100003,100004]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,ProductID,2,int,4,10,0,0,Foreign key to the product involved in this transaction.,"[1,2,3,4,316]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,ReferenceOrderID,3,int,4,10,0,0,Related order number (purchase or sales) linked to this movement.,"[417,418,419,420,421]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,ReferenceOrderLineID,4,int,4,10,0,0,Line number within the related order that this transaction references.,"[0,1,2,3,4]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,TransactionDate,5,datetime,8,23,3,0,Date/time when the inventory movement occurred.,"[""Jul 31 2013 12:00AM"",""Aug 1 2013 12:00AM"",""Aug 2 2013 12:00AM"",""Aug 3 2013 12:00AM"",""Aug 4 2013 12:00AM""]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,TransactionType,6,nchar,1,0,0,0,"Transaction type code: P=Purchase receipt, S=Sales issue, W=Work order movement.","[""P"",""S"",""W""]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,Quantity,7,int,4,10,0,0,"Units moved in this transaction (positive for receipts, negative for issues).","[1,2,3,4,5]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,ActualCost,8,money,8,19,4,0,Actual per-unit cost associated with the movement.,"[0.00,0.21,1.16,1.37,1.37]"
Production,TransactionHistory,"Stores historical inventory transactions for each product, including receipts, sales, and work‑in‑process movements.",113443,ModifiedDate,9,datetime,8,23,3,0,Timestamp of the last update to the transaction record.,"[""Jul 31 2013 12:00AM"",""Aug 1 2013 12:00AM"",""Aug 2 2013 12:00AM"",""Aug 3 2013 12:00AM"",""Aug 4 2013 12:00AM""]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,WorkOrderID,1,int,4,10,0,0,Primary key; unique identifier for the work order.,"[1,2,3,4,5]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,ProductID,2,int,4,10,0,0,Foreign key to the product being manufactured on this work order.,"[3,316,324,327,328]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,OrderQty,3,int,4,10,0,0,Quantity requested for production on this work order.,"[1,2,3,4,5]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,StockedQty,4,int,4,10,0,0,Quantity actually completed and put into stock for this work order.,"[1,2,3,4,5]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,ScrappedQty,5,smallint,2,5,0,0,Units scrapped (not meeting quality) during production.,"[0,1,2,3,4]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,StartDate,6,datetime,8,23,3,0,Planned/actual production start date for the work order.,"[""Jun 3 2011 12:00AM"",""Jun 4 2011 12:00AM"",""Jun 5 2011 12:00AM"",""Jun 6 2011 12:00AM"",""Jun 7 2011 12:00AM""]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,EndDate,7,datetime,8,23,3,1,Actual completion date for the work order (if finished).,"[""Jun 13 2011 12:00AM"",""Jun 14 2011 12:00AM"",""Jun 15 2011 12:00AM"",""Jun 16 2011 12:00AM"",""Jun 17 2011 12:00AM""]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,DueDate,8,datetime,8,23,3,0,Required finish/delivery date for the work order output.,"[""Jun 14 2011 12:00AM"",""Jun 15 2011 12:00AM"",""Jun 16 2011 12:00AM"",""Jun 17 2011 12:00AM"",""Jun 18 2011 12:00AM""]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,ScrapReasonID,9,smallint,2,5,0,1,Foreign key to the reason code describing scrap cause (if any).,"[1,2,3,4,5]"
Production,WorkOrder,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",72591,ModifiedDate,10,datetime,8,23,3,0,Timestamp of the last update to the work order.,"[""Jun 13 2011 12:00AM"",""Jun 14 2011 12:00AM"",""Jun 15 2011 12:00AM"",""Jun 16 2011 12:00AM"",""Jun 17 2011 12:00AM""]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,WorkOrderID,1,int,4,10,0,0,Foreign key to the work order that this routing step belongs to.,"[13,14,15,16,17]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ProductID,2,int,4,10,0,0,Foreign key to the product associated with this routing step.,"[514,515,516,517,518]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,OperationSequence,3,smallint,2,5,0,0,Operation sequence number (execution order within the routing).,"[1,2,3,4,5]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,LocationID,4,smallint,2,5,0,0,Foreign key to the production location/cell where the step is performed.,"[10,20,30,40,45]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ScheduledStartDate,5,datetime,8,23,3,0,Planned start date/time for this operation step.,"[""Jun 3 2011 12:00AM"",""Jun 4 2011 12:00AM"",""Jun 5 2011 12:00AM"",""Jun 6 2011 12:00AM"",""Jun 7 2011 12:00AM""]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ScheduledEndDate,6,datetime,8,23,3,0,Planned end date/time for this operation step.,"[""Jun 14 2011 12:00AM"",""Jun 15 2011 12:00AM"",""Jun 16 2011 12:00AM"",""Jun 17 2011 12:00AM"",""Jun 18 2011 12:00AM""]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ActualStartDate,7,datetime,8,23,3,1,Actual start date/time for this operation step.,"[""Jun 3 2011 12:00AM"",""Jun 5 2011 12:00AM"",""Jun 7 2011 12:00AM"",""Jun 9 2011 12:00AM"",""Jun 11 2011 12:00AM""]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ActualEndDate,8,datetime,8,23,3,1,Actual end date/time for this operation step.,"[""Jun 15 2011 12:00AM"",""Jun 17 2011 12:00AM"",""Jun 19 2011 12:00AM"",""Jun 21 2011 12:00AM"",""Jun 23 2011 12:00AM""]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ActualResourceHrs,9,decimal,5,9,4,1,Actual labor/machine resource hours consumed by the step.,"[1.0000,2.0000,3.0000,3.5000,4.0000]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,PlannedCost,10,money,8,19,4,0,Planned cost for performing this operation step.,"[14.50,31.50,36.00,36.75,49.00]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ActualCost,11,money,8,19,4,1,Actual cost incurred for this operation step.,"[14.50,31.50,36.00,36.75,49.00]"
Production,WorkOrderRouting,"Represents manufacturing work orders describing which product to build, the quantity required, production dates, and related scrap or scheduling details.",67131,ModifiedDate,12,datetime,8,23,3,0,Timestamp of the last update to the routing record.,"[""Jun 15 2011 12:00AM"",""Jun 17 2011 12:00AM"",""Jun 19 2011 12:00AM"",""Jun 21 2011 12:00AM"",""Jun 23 2011 12:00AM""]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,PurchaseOrderID,1,int,4,10,0,0,Foreign key to the purchase order header that owns this line.,"[1,2,3,4,5]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,PurchaseOrderDetailID,2,int,4,10,0,0,Primary key (within the PO) for this line item.,"[1,2,3,4,5]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,DueDate,3,datetime,8,23,3,0,Expected receipt date for the ordered item.,"[""Apr 30 2011 12:00AM"",""May 14 2011 12:00AM"",""Dec 28 2011 12:00AM"",""Dec 29 2011 12:00AM"",""Jan 22 2012 12:00AM""]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,OrderQty,4,smallint,2,5,0,0,Quantity ordered from the vendor for this line.,"[3,4,25,60,75]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,ProductID,5,int,4,10,0,0,Foreign key to the product being purchased.,"[1,2,4,317,318]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,UnitPrice,6,money,8,19,4,0,Vendor unit cost at the time of ordering.,"[0.21,0.86,1.16,1.37,1.47]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,LineTotal,7,money,8,19,4,0,Extended line amount (OrderQty × UnitPrice).,"[37.08,38.15,59.82,59.94,102.56]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,ReceivedQty,8,decimal,5,8,2,0,Units actually received against this line.,"[2.00,3.00,20.00,51.00,57.00]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,RejectedQty,9,decimal,5,8,2,0,Units rejected at receiving (damaged/defective/incorrect).,"[0.00,1.00,3.00,6.00,9.00]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,StockedQty,10,decimal,5,9,2,0,Units accepted into inventory (received minus rejected).,"[0.00,1.00,3.00,20.00,51.00]"
Purchasing,PurchaseOrderDetail,"Stores detailed line‑items of vendor purchase orders, including ordered quantities, unit cost, received quantities, rejected quantities, and extended cost calculations.",8845,ModifiedDate,11,datetime,8,23,3,0,Timestamp of the last update to the PO line record.,"[""Apr 23 2011 12:00AM"",""May 7 2011 12:00AM"",""Dec 21 2011 12:00AM"",""Dec 22 2011 12:00AM"",""Jan 15 2012 12:00AM""]"
,,,,,,,,,,,,
